inventory_number,author,title,publisher,category
467,Natalia Ginzburg,La strada che va in città,Einaudi 1975,"Romanzo, solitudine, memoria"
20,Cesare Pavese,La bella estate,Einaudi 1949,"Romanzo, crescita, rapporto città e campagna"
375,Cesare Pavese,La casa in collina,Einaudi 1967,"Romanzo, Seconda guerra mondiale, solitudine, ricordo"
351,Cesare Pavese,Feria d’agosto,Mondadori 1971,"Racconti e saggi, mito dell'infanzia, passato idilliaco,"
466,Cesare Pavese,La luna e i falò,Einaudi 1950,"Romanzo, Anguilla, emigrazione, Santo Stefano Belbo, ricordo"
141,James Hilton,"Addio, Mister Chips",Mondadori1938,"Romanzo breve, ricordi di un vecchio insegnante"
4383,Boris Pasternàk,Il dottor Zivago,Loescher editore1957,"Romanzo, rivoluzione bolscevica, storia d'amore"
104,André Gide,I falsari- Diario dei falsari,Bompiani 1953,"Romanzo, omosessualità, critica della falsità morale"
103,Vitaliano Brancati,Il bell’Antonio,Bompiani 1963,"Romanzo, fascismo, critica della società, mito della virilità"
113/4,Heman Melville,Moby Dick (due volumi),Garzanti 1946,"Romanzo, balena bianca, lotta contro il male, avventura"
456,Herman Melville,Moby Dick o la balena,Adelphi 1987,"Romanzo, balena bianca, lotta contro il male, avventura"
449,Elio Vittorini,Uomini e no,Oscar Mondadori 1990,"Romanzo, Enne2, repressione nazi-fascista, dicotomia bene-male"
435,Elio Vittorini,Uomini e no,Arnoldo Mondadori 1973,"Romanzo, Enne2, repressione nazi-fascista, dicotomia bene-male"
271,Elio Vittorini,Conversazione in Sicilia,Einaudi 1966,"Romanzo, viaggio, riflessioni politiche e morali suula società"
3,Vittorio Alfieri,La vita,E.I.R 1964,Autobiografia
33,Giorgio Bassani,Gli occhiali d’oro,Mondadori 1977,"Romanzo, emarginazione. omosessualità, pregiudizi razziali"
35,Giorgio Bassani,Le storie ferraresi,Einaudi 1960,"Racconti, fascismo, resistenza, discriminazione razziale e sociale, provincia"
361,Giorgio Bassani,Il giardino dei Finzi –Contini,Einaudi 1962,"Romanzo, persecuzioni razziali, storia vera, amore non corrisposto"
639,Hermann Hesse,Demian,Arnoldo Mondadori editore 1993,"Romanzo di formazione, adolescenza"
640,Hermann Hesse,Gertrud,Oscar Mondadori 1980,"Romanzo, pacificazione spirituale, musica,"
641,Hermann Hesse,Racconti,Oscar Mondadori 2001,Raccolta
642,Hermann Hesse,Sotto la ruota,Oscar Mondadori 1999,"Romanzo di formazione, istruzione severa"
647,Hermann Hesse,Leggende e fiabe,Arnoldo Mondadori editore 1999,Raccolta di leggende dal Medioevo in poi
529,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli 1993,"Romanzo, Sicilia Settecento, condizione femminile, ribellione"
530,Dacia Maraini,La lunga vita di Marianna Ucria,Rizooli 1993,"Romanzo, Sicilia Settecento, condizione femminile, ribellione"
452,Dacia Maraini,La lunga vita di Marianna Ucria,Rizzoli 1992,"Romanzo, Sicilia Settecento, condizione femminile, ribellione"
182,Dacia Maraini,Donna in guerra,Einaudi 1973,Romanzo femminismo anni '70
118,John Steinbeck,L’inverno del nostro scontento,Oscar Mondadori 1962,Romanzo crisi classe media
158,John Steinbeck,La valle dell’Eden,Oscar Mondadori 1954,"Romanzo depravazione, amore, libertà"
202,John Steinbeck,Uomini e topi,Bompiani 1974,Romanzo girovaghi crisi economica Usa
262,John Steinbeck,Uomini e topi,Bompiani 1995,Romanzo girovaghi crisi economica Usa
163,Marfaret Mitchell,Via col vento,Oscar Mondadori,"Romanzo Guerra di Secessione Atlanta, piantagione di cotone"
644,Johann Wolfgang von Goethe,Favola,Adelphi 1990,Racconto enigma
281,Elsa Morante,La storia,Einaudi 1974,Romanzo Roma Seconda guerra mondiale
