inventory_number,author,title,publisher,category
A068,Zita Dazzi,In equilibrio perfetto,Sinnos 2016,"Romanzo, adolescente, malattia,alta leggibilità, rapporto madre-figlia"
A084,Fabrizio Gatti,Viki che voleva andare a scuola,Rizzoli 2010,"Romanzo, immigrazione, periferie, riscatto"
A081,Antonio Ferrara,Il ragazzo e la tempesta,Rizzoli 2014,"Romanzo, rapporto padre-figlio, montagna"
A086,Alison Leslie Gold,Mi ricordo Anna FranK,Bur 2011,"Storia vera, amicizia, Shoah"
A087,Paola Zannoner,Rocco + colomba,De Agostini 2011,"Romanzo storico, Garibaldi, Sicilia, amore"
A069,Catherine Forde,A bomba,Sinnos 2011,"Romanzo, amicizia, skate, acrobazie, Youtube"
A072,AA.VV,Il libro dell’economia,Gribaudo 2015,"Saggio, tasse, recessione, inflazione"
A074,Dominique Lanni,Atlante dei paesi sognati,Bompiani 2016,"Atlante, luoghi fantastici, creature misteriose"
A073,Aude de Tocqueville,Atlante delle città perdute,Bompiani 2014,"Atlante, luoghi misteriosi, città cadute in rovina"
A089,John Grisham,La prima indagine di Theodore Boone,Oscar Mondadori 2012,"Romanzo giallo, adolescente, avvocato"
A088,Xavier Laurent Petit,Be safe,Rizzoli 2011,"Romanzo adolescenti, guerra, musica"
A173,Torey L. Hayden,La foresta dei girasoli,TEA 2011,"Romanzo, ricordi del passato, rapporto madre-figlia"
A215,Margaret Mazzantini,Mare al mattino,Einaudi 2011,"Romanzo profuga, Libia"
A146,Gabriel G. Marquez,Memoria delle mie puttane tristi,Mondadori 2005,"Romanzo breve, amore, vecchiaia"
A212,Stefano Zecchi,Amata per caso,Mondadori 2004,"Romanzo India, adozione"
A206,David Bellemère,La quindici gioie del matrimonio,Newton 1994,"Saggio, matrimonio, ipocrisie, misoginia"
A213,Mika Wlatari,Turms l’Etrusco,Mondadori 1985,"Romanzo storico, ricerca delle proprie origini, viaggio"
A203,Johann Wolfgang von Goethe,Le affinità elettive,Mondadori 2017,"Romanzo, contrasto tra istinto e ragione"
A157,Alberto Bertuzzi,La costituzione comoda,BUR 1981,Saggio
A172,AleKsandr Isaevic Solženicyn,Una giornata di Ivàn Denìsovič,Newton 1993,"Romanzo, Russia anni Cinquanta, gulag"
A171,Edmond Rostand,Cirano di Bergerac,Newton 1993,"Commedia teatrale, Francia, spadaccino, amore"
A169,Daphne du Maurier,A Venezia … un dicembre rosso shocking,BUR 1980,"Racconti fantastici, thriller"
A181,Jack London,Zanna Bianca,Giunti 2004,"Romanzo avventura, lupo, violenza sugli animali"
A178,John N. Wilford,L’enigma dei dinosauri,Mondadori De Agostini 1994,"saggio, paleontologia, dinosauri, scomparsa"
A175,Giorgio Amendola,Un’isola,BUR 1982,"Autobiografia politica, Italia, partito Comunista"
A158,Sandra Frattini,Le orchidee del Monte Vallassa,Guardamagna Editori 2016,"Saggio, orchiedee selvatiche, Valle Staffora"
A179,Steven Weinberg,I primi tre minuti,Mondadori De Agostini 1994,"Saggio, cosmologia, fisica,"
A177,Jerry Spinelli,Per sempre Stargirl,Oscar Mondadori 2012,"Romanzo, adolescente anticonformista, amicizia"
A174,AA. VV,Incontri nell’aula 18,Libreria Ticinum Editore 2016,"Racconti, studenti Maserati"
A180,Sinesio,Elogio della calvizie,BIT 1995,"Operetta, esempio di retorica"
A176,Dario Sabbatucci,"Tarquinia, la pittura etrusca",De Agostini,"Saggio, opere artistiche etrusche"
A170,Doriana Martini,Prigionieri di noi stessi,Grauseditore 2015,"Saggio, famiglia, egoismi, sentimenti"
A160,Isabel Allende,La casa degli spiriti,Feltrinelli 1987,"Romanzo storico, Cile, amore"
A161,Christian Jacq,Il romanzo di Ramses,Mondadori 1997,"Romanzo storico, antico Egitto, faraone Ramesse II"
A168,Platone,Simposio,BUR 2016,"Dialogo filosofico, amore, filosofia"
A156,Giovanni Verga,Dal tuo al mio,BIT 1995,"Romanzo, roba, Sicilia,"
A154,Luigi Pirandello,Donna Mimma,Newton 1995,"Novella, levatrice, pregiudizi"
A164,Luigi Pirandello,Amori senza amore,Newton 1995,"Novella, amore, convenzioni sociali, interesse"
A153,Seneca,La vera gioia,BIT 1995,"Epistola filosofica , senso della vita, felicità"
A163,Patricia Cornwell,Oggetti di reato,Mondadori 1992,"Romanzo giallo, Kay Scarpetta, assassinio"
A152,Anton Paulovic Čechov,La fidanzata e altri racconti,BIT 1995,"Racconti, donne, ironia"
A150,Malorie Blackman,Hacker,Carlo Signorelli Editore 2000,"Romanzo giallo, pirateria informatica, figli"
A159,Nick Hornby,Alta fedeltà,Guanda 1995,"Romanzo, matrimonio, ironia, gossip,"
A167,Italo Svevo,Il mio ozio e altri racconti,BIT 1995,"Racconti, vecchiaia"
A162,Giorgio Amendola,Una scelta di vita,BUR 1976,"Autobiografia politica, Italia, partito Comunista"
A166,Luigi Pirandello,Un matrimonio ideale e altre novelle,BIT 1995,"Novelle, matrimonio, ironia"
A165,Apuleio,La favola di Amore e Psiche,Newton 1995,"racconto, amore, mitologia"
A149,Gabriele D’Annunzio,L’innocente,Mondadori 1976,"Romanzo esteta, infanticidio"
A151,Andrea Camilleri,Donne,Rizzoli 2016,"Ritratti femminili, amore, bellezza"
A145,Annette Wieviorka,Auschwitz spiegato a mia figlia,Einaudi 1999,"Saggio, shoah, campi di sterminio"
A144,Andrea De Carlo,Giro di vento,Bompiani 2004,"Romanzo, amicizia, paure, sogni"
A141,Nicolas Barreau,Con te fino alla fine del mondo,Feltrinelli 2008,"Romanzo rosa, storia d'amore, lettera dì'amore"
A135,Werner Keller,La civiltà etrusca,Euroclub 1979,"Saggio, archeologia, Toscana"
A133,Nicolas Barreau,Gli ingredienti segreti dell’amore,Feltrinelli 2012,"Romanzo rosa, Parigi, storia d'amore, ristorante"
A138,"F. Segù, P. Loaldi",Frammenti,UES 2012,"Storie di giovani, buoni sentimenti, valori"
A131,Roberto Saviano,Gomorra,Mondadori 2006,"Romanzo, malavita, boss, camorra, Campania"
A148,Alba de Céspedes,Prima e dopo,Mondadori 1955,"Romanzo, ricordi del passato, consapevolezza"
A155,Natalia Ginzburg,Lessico famigliare,Mondadori 1974,"Romanzo autobiografico, famiglia, amicizia, antifascismo"
A147,Andrea De Carlo,Due di due,Mondadori 2001,"Romanzo di formazione, amicizia, disagio esistenziale"
A143,John Grisham,Il broker,Mondadori 2005,"Romanzo giallo, spionaggio informatico"
A142,Kader Abdolah,La casa della moschea,Iperborea 2011,"Romanzo, Persia, famiglia, moschea"
A139,Norman T. Di Giovanni,Novecento,Longanesi 1977,Romanzo storico
A137,Dino Buzzati,Il deserto dei tartari,Mondadori 1974,"Romanzo, tempo, attesa, morte"
A136,Ernest Hemingway,I racconti di Nick Adams,Mondadori 1976,Racconti autobiografici
A129,Gabriel G. Marquez,Notizia di un sequestro,Mondadori 1998,"Reportage giornalistico Pablo Escobar, sequestro americani"
A130,Gabriel G. Marquez,L’autunno del patriarca,Mondadori 2002,"Romanzo, America latina dittatura, potere"
A132,Gabriel G. Marquez,Cent’anni di solitudine,Mondadori 1996,"Romanzo, famiglia, Macondo, solitudine"
A134,F. Scott Fitzgerald,Gli ultimi fuochi,Mondadori 1974,"Romanzo, Hollywood, mondo del cinema, declino morale"
A128,Rita Franchini Ponti,La luna nel pozzo,Grafiche Ortolan 2009,"Romanzo,amicizia"
A241,Alessia Gazzola,L’allieva,Longanesi 2016,"Romanzo, medicina legale, omicidio"
A207,Bram Stoker,Dracula,Einaudi 2016,"Romanzo, vampiri, male, Vlad II detto Dracul"
A221,Elizabeth Bowen,The House in Paris,Penguin Boooks 1976,"Romanzo, Parigi, amicizia, borghesia"
A209,Gabriel G. Marquez,Cent’anni di solitudine,Mondadori 1987,"Romanzo, famiglia, Macondo, solitudine"
A201,Robert S. Elegant,Manciù,Bompiani 1987,"Romanzo d' avventura, Cina, dinastia Ming, armi"
A216,Jack London,Il richiamo della foresta,Mondadori 2011,"Romanzo d' avventura, Alaska, cane da slitta, Buck"
A214,Giuseppe De Grassi,Occhi di ragazzo,Rai Eri 2002,"Biografia, Gianni Morandi, canzoni"
A282,AAVV,Racconti di montagna,Einaudi 2008,"Racconti, storie di neve, guerra, giovinezza"
A280,Nicholas Evans,L’uomo che sussurrava ai cavalli,RCS 1995,"Romanzo, trauma psicologico, cowboy"
A277,Arthur Conan Doyle,Sherlock Holmes La valle della paura,Fabbri Editori 2002,"Romanzo, indagine, scienziato malefico"
A276,Christophe Léon,Reato di fuga,Sinnos 2016,"Romanzo, incidente, responsabilità"
A238,Arwen Elys Dayton,Seeker,Sperling & Kupfer 2016,"Romanzo fantasy, eroina, avventura"
A235,Nathaniel Hawthorne,La lettera scarlatta,Mondadori 2015,"Romanzo, amore adulterio, pregiudizio"
A234,Fedor Dostoevskij,Memorie dal sottosuolo,Mondadori 2017,"Romanzo, confessione, ipocondriaco, emarginazione"
A190,Antonio Forcellino,1545,Laterza 2008,"Saggio Rinascimento italiano, artisti, scandali"
A193,Ken Follett,L’uomo di Pietroburgo,Mondadori 1982,"Romanzo giallo, suspanse, Londra 1914, spionaggio"
A188,Gabriel G. Marquez,Cronaca di una morte annunciata,Mondadori 1981,"Romanzo, Colombia, morte, onore, vendetta, omertà"
A186,Ellis Peters,Un cadavere di troppo,TEA 1990,"Romanzo, Medioevo, delitto, fratello Cadfael"
A196,Sigmund Freud,L’interpretazione dei sogni,Rusconi libri 2016,"Saggio, psicanalisi, inconscio, psiche"
A200,Michael J. Gelb,Il segreto da Vinci,Il Saggiatore2004,"Saggio, Leonardo, opere"
A198,Federico Moccia,Tre metri sopra il cielo,Feltrinelli 2005,"Romanzo rosa, storia d'amore"
A201,Paulo Coelho,Sulla sponda del fiume Pietra mi sono seduta e ho pianto,Mondadori 1996,"Romanzo, storia d'amore, essenza della vita"
A199,Friedrich Nietzsche,Così parlò Zarathustra,Mondadori 2016,Saggio filosofico
A194,Ken Follett,Il terzo gemello,Mondadori 1997,"Romanzo giallo, gemelli separati alla nascita, scienziata"
A192,Luca Nascimbene,Il ragazzo che cantava poesie d’amore,Youcanprint 2017,Raccolta di poesie
A187,Luigi Pirandello,Sei personaggi in cerca d’autore,Newton 1993,"Dramma, incomunicabilità conflitto essere-apparire"
A189,Robert L. Stevenson,Lo strano caso del Dr. Jekyll e Mr. Hyde,Newton 1992,"Romanzo gotico, bene e male, ruolo scienza"
A190,Charles Dickens,Le avventure di Oliver Twist,Mondadori 2015,"Romanzo, Londra, orfano, sfruttamento minorile"
A196,Silvana De Mari,Giuseppe figlio di Giacobbe,Effatà Editrice 2014,Riscrittura di brano biblico
A199,Isabel Allende,Le avventure di aquila e giaguaro,Feltrinelli 2004,"Romanzo, avventura Amazzonia,adolescenti"
A232,Luca Reteuna,E dopo? Energie rinnovabili per tutti,Effatà editrice 2009,"Saggio, energie rinnovabili"
A229,Chris Weitz,The new order,Sperling & Kupfer 2016,"Romanzo distopico, epidemia, fine del mondo"
A233,Luca Reteuna,Cure dolci cure,Effatà editrice 2010,"Saggio, medicina naturale, Omeopatia, Reiki, Riflessologia"
A237,S. Calvani M. Albertazzi,Saccheggio mondiale,Effatà editrice 2011,"Saggio, affari della criminalità"
A185,John le Carré,Il canto della missione,Mondadori 2006,"Romanzo, Africa, interprete, sfruttamento"
A183,Enzo Biagi,Lettera d’amore a una ragazza di una volta,Rizzoli 2003,"Ricordi, amore, amicizie, morte"
A181,Nicholas Sparks,Quando ho aperto gli occhi,Frassinelli 2003,"Romanzo sentimentale, amicizia, amore"
A179,Nicholas Sparks,Le parole che non ti ho detto,Frassinelli 1998,"Romanzo sentimentale, amore"
A205,-,Eserciti della guerra del golfo 1990-91,Edizioni del prado 1998,"Saggio storico, armi"
A210,-,Normandia 1944,Edizioni del prado 1998,"Saggio storico, armi"
A183,Andrew Lane,Young Sherlock Holmes,DeAgostini 2014,"Romanzo, investigazione, signor Crowe"
A182,Gerhard Konzelmann,Maometto,Bompiani 1991,"Biografia, pensiero politico, islam"
A185,Presidenza del Consiglio dei Ministri,Italiane Volume III,-,"dizionario biografico, donne celebri"
A264,D. Agasso Jr. A. Celeghini,Uno sarà preso,Effatà editrice 2008,"Testimonianza storica, guerra partigiana, fascismo,"
A263,Giuseppe Catozzella,Non dirmi che hai paura,Feltrinelli 2014,"Romanzo, Samia, atleta , immigrazione,"
A261,Franco Causio (Italo Cucci),Vincere è l’unica cosa che conta,Sperling & Kupfer 2015,"Biografia, calcio, Juventus, Barone"
A260,Tacito,Annali,Mondadori 2014,"Saggio storico, Roma, dal 14 d.C., fino a Nerone"
A258,Giuseppe Catozzella,Il grande futuro,Feltrinelli 2016,"Romanzo, Islam, reclutamento"
A189,Conor Grennan,Sette fiori di senape,Piemme 2011,"Romanzo, Kathmandu, orfanatrofio, ricerca"
A218,William Shakespeare,La tempesta,Mondadori 2017,"Commedia, isola deserta, Prospero, Ariel, duca di Milano"
A224,Alex Soojung-Kim Pang,Dipendenza digitale,Edizioni LSWR 2013,"Saggio, dipendenza social, tecnologia"
A227,Marco Braico,Metà di tutto,Effatà editrice 2013,"Romanzo, professore, leucemia, speranza"
A228,Nicola Gardini,Viva il latino,Garzanti 2016,"Saggio, utilità del latino,"
A225,Nadia Tempest,10 cose che non avresti mai pensato di fare,Sperling & Kupfer 2016,"Saggio confronto vita attuale e senza social,"
A231,Stephen King,On writing,Frassinelli 2015,"Autobiografia, manuale di scrittura"
A219,Luis Sepúlveda,Il vecchio che leggeva romanzi d’amore,Guanda 2001,"Romanzo foresta amazzonica, tigrillo"
A217,Giovanni Boccaccio,Decameron,Mondadori 2015,"Raccolta di novelle, Firenze, peste, Trecento"
A220,Javier Ruescas,Tutti i colori di te,Feltrinelli 2016,"Romanzo sentimentale, Casanova,"
A197,Amy Hempel,Ragioni di vivere,Serra e Riva Editori 1986,"Racconti di vita vissuta, manie, ossessioni"
A195,Don Antonio Mazzi,Pinocchio e i suoi fratelli,Piemme 1995,"Esperienze di vita, recupero tossicodipendenti, comunità"
A184,Albert Einstein,Lo spazio è una questione di tempo,RBA 2014,"Saggio, teoria della relatività, fisica quantistica"
A182,Paolo Mosca,Il nuovo senso della vita,Sperling 2003,"Saggio, Gandhi, ricerca dell'armonia"
A226,Nicholas Sparks,La risposta è nelle stelle,Frassinelli 2013,"Romanzo sentimentale, storie d'amore a confronto"
A230,Charlotte Roth,Quando eravamo immortali,Sperling & Kupfer 2014,"Romanzo, Berlino, crollo del muro, amore"
A222,Gavriel Savit,Anna e l’Uomo delle rondini,Sperling & Kupfer 2016,"Romanzo storico, 1939, Polonia, nazisti, fuga"
A223,Shakespeare,Sogno di una notte di mezz’estate,Mondadori 2017,"Commedia, nozze, attori, fate"
A221,Jenny Lawson,Follemente felice,Sperling & Kupfer 2015,"Romanzo comico, flusso di coscienza, depressione"
A243,Seneca,Apokolokyntosis,Mondadori 2017,"Satira, Claudio,"
A246,Jonathan Coe,Lo specchio dei desideri,feltrinelli 2012,"Romanzo, adolescente, specchio, desideri"
A249,Robin Hobb,L’assassino,Sperling & Kupfer 2015,"Romanzo fantasy,"
A224,Charles Baudelaire,I fiori del male,Mondadori 2014,"raccolta lirica, Simbolismo"
A266,AAVV,Fidati di me,Sperling & Kupfer 2015,Romanzo
A178,Giuseppe Culicchia,Un’estate al mare,Garzanti 2007,"Romanzo, storia d'amore, ritratto società anni 80"
A173,Giorgio Faletti,Niente di vero tranne gli occhi,Baldini Castoldi Dalai editore 2004,"Romanzo giallo, omicidi, Peanuts,"
A193,Giorgio Rochat,Le guerre italiane 1935- 1943,Einaudi 2005,Saggio storico
A191,Giuseppe Sicheri,Vino è salute,Saviolo edizioni 2008,"Saggio,"
A242,Andrew Fukuda,The Hunt,Il castoro 2013,"Romanzo, adolescente, vampiri"
A240,Paul Dowswell,L’ultima alba di guerra,Feltrinelli 2016,"Romanzo, Axel, Will e Eddie tre giovani combattenti, 1918"
A239,Edmondo De Amicis,Cuore,Mondadori 2016,"Romanzo per ragazzi, diario, unità d' Italia"
A254,Giovanni Verga,Mastro-don Gesualdo,Mondadori 2017,"Romanzo, Verismo, Ciclo dei Vinti"
A252,Erasmo da Rotterdam,Elogio della follia,Mondadori 2017,Saggio filosofico
A251,Fëdor Dostoevskij,Il sosia,Mondadori 2016,"Romanzo, sdoppiamento dell'io, dvojnik"
A180,Federico Moccia,Ho voglia di te,Feltrinelli 2006,"Romanzo, storia d'amore seguito di ""3 metri sopra il cielo"
A204,Miguel de Cervantes,Don Chisciotte della Mancia,Mondadori 2017,"Romanzo, Spagna, hidalgo impazzito, Sancho Panza"
A208,Luca Reteuna,Sorella Acqua,Effatà editrice 2012,"Saggio, ecologia"
A197,Alessandro Gisotti,11 settembre Una storia che continua,Effatà editrice 2011,saggio storico
A198,Stephen King,Misery,Sperling & Kupfer 2015,"Romanzo thriller, Paul Sheldon, ammiratirice fanatica"
A195,Mario Dal Bello,Caravaggio,Effatà editrice 2007,Saggio storia dell'arte
A193,Gian Luca Favetto,Un’eterna solitudine,Effatà editrice 20124,Religione
A194,Elena Lowenthal,Un’annunciazione,Effatà editrice 2014,Religione
A191,Margherita Oggero,Amen,Effatà editrice 2014,Religione
A192,Giancarlo Galli,Gli Agnelli,Mondadori 1997,Saggio storia
A188,Victor Hugo,L’ultimo giorno di un condannato a morte,Newton 1993,"Romanzo, riflessioni sulla vita"
A186,Charles Dickens,Le campane,Newton 1993,"Romanzo, società inglese dell'Ottocento, dignità umana, oppressi"
A184,Murakami Haruki,Norwegian wood,Einaudi 1987,"Romanzo, romanzo sull'adolescenza, Toru"
A273,Vernor Vinge,I naufraghi del tempo,Mondadori 1986,"Romanzo di fantascienza, umanità distrutta"
A166,MAngela Nanetti,Morte a Garibaldi,Giunti 2011,"Romanzo, adolescente, rapporto col padre"
A162,Federico Moccia,Tre metri sopra il cielo,Mondadori 2005,"Romanzo storia d'amore giovani, Roma"
A161,Jostein Gaarder,Il mondo di Anna,Longanesi 2013,"Romanzo, amore per la natura, cambiamenti climatici"
A285,Peter Atkins,Le regole del gioco,Zanichelli 2014,"Saggio, regole della termodinamica"
A271,Douglas Adams,"La vita, l’Universo e tutto quanto",Mondadori 2009,"Romanzo,"
A272,Robert Silverberg,Pianeta senza scampo,Mondadori 2002,"Saggio,ambiente"
A275,Arthur Conan Doyle,The Memoirs of Sherlock Holmes,Giunti 2001,"Giallo, lingua inglese"
A274,Dava Sobel,Longitude,Fourth Estate London 1998,Lingua inglese
A284,Karl R. Popper John Condry,Cattiva maestra televisione,Reset Donzelli editore1994,Saggio
A279,Beppe Severgnini,L’italiano Lezioni semiserie,Rizzoli 2007,"Saggioi, lingua"
A278,Christopher Paolini,Eragon,Bur 2003,"Romanzo, fantasy, draghi"
A283,Tom Clancy,La grande fuga dell’Ottobre Rosso,RCS 1997,"Romanzo, Techno-triller"
A281,Alessio Grosso,Apocalisse bianca,Mursia 2004,Romanzo.meteo-triller
A174,Jenny Lawson,Facciamo finta di niente,Sperling & Kupfer 2016,Romanzo
A177,Karen Blixen,La mia Africa,Feltrinelli 1992,Young adult
A176,Roberto Perrone,Banana football Club,Rizzoli 2012,"Romanzo, sport, identità"
A172,Giorgio Faletti,Fuori da un evidente destino,Baldini e Castoldi Dalai 2006,"Romanzo, suspence"
A157,Markus Zusak,Storia di una ladra di libri,Sperling & Kupfer 2015,"Romanzo, amore per la lettura"
A150,Rosa Montero,Storia del Re Trasparente,Frassinelli 2005,Romanzo storico
A153,Marco Malvaldi,L’infinito tra parentesi,Rizzoli 2016,Saggio
A155,Andrea Vitali,La modista,Garzanti 2008,Romanzo
A138,Vivian Lamarque,Poesie 1972-2002,Mondadori 2002,Fantasy
A154,John Tiffany e Jack Thorne,Harry Potter e la maledizione dell’erede,Salani 2016,"Romanzo fantasy, maghi"
A140,Viviana Mazza,Il bambino Nelson Mandela,Mondadori 2014,Romanzo storico
A139,Lucia Troisi,Cronache del mondo sommerso,Mondadori 2004,Romanzo fantasy
A151,Paola Mastrocola,L’anno che non caddero le foglie,Guanda 2016,Favola
A142,Mark Haddon,Boom!,Einaudi 2009,"Roamzo, identità, alta leggibilità"
A265,John Grogan,Io & Marley,Sperling & Kupfer 2015,"Romanzo, cane, amore"
A262,Jason R. Briggs,Python per ragazzi,Edizioni LSWR 2016,Saggio
A259,Anna Todd,Imagines,Sperling & Kupfer 2016,Romanzo storico
A144,Edoardo Nesi,Storia della mia gente,Bompiani 2011,Romanzo storico
A143,Cinzia Montagna,Chi ha paura di Caterina?,Primula Editore 2016,"Romanzos storico, streghe"
A149,Giampaolo Pansa,Ma l’amore no,Sperling & Kupfer 1994,Romanzo storico
A152,Andrw Lane,Young Sherlock Holmes Trappola velenosa,De Agostini 2012,Giallo
A148,Paul Bowles,Il tè nel deserto,Garzanti 1990,Romanzo
A267,Stephen King,On writing,Frassinelli 2015,Scrittura
A270,Eugenio Del Toma Agostino Macrì,L’alimentazione equilibrata,Edra Edizioni LSWR 2016,Saggio
A253,Plauto,Poenulus Truculentus,Mondadori 2015,Teatro
A247,Patrick Süskind,Il profumo,TEA 1985,"Romanzo, delitti"
A245,Luca Reteuna,Speriamo nel mare!,Effatà editrice 2013,Saggio
A255,Stephen Chbosky,Noi siamo infinito,Sperling & Kupfer 2015,"Romanzo, amore, adolescenza"
A141,Victor Hugo,Notre-Dame de Paris,Einaudi 1972,"Romanzo, cattedrale, amore"
A250,Alessandro Gisotti,Dio e Obama,Effatà editrice 2010,Saggio
A147,Sam Savage,Firmino,Einaudi 2007,"Romanzo, topi, biblioteca"
A146,Antonio Tabucchi,Il piccolo naviglio,Feltrinelli 2011,Romanzo
A257,Giorgio Faletti,Niente di vero tranne gli occhi,Mondadori 2004,"Romanzo giallo,"
A248,Nicolas Vanier,Belle & Sebastien,Sperling & Kupfer 2014,Romanzo
A168,Timothy Lewis,Solo una volta nella vita,Giunti 2013,Romanzo
A171,Susanna Tamaro,Ascolta la mia voce,RCS 2006,Romanzo
A170,Paulo Coelho,Lo Zahir,RCS 2005,Romanzo
A187,Vamba,Il giornalino di Gian Burrasca,DeAgostini 2009,Romanzo di formazione
A159,Guido Sgardoli,O sei dentro o sei fuori,Edizioni EL 2010,"Romanzo,amicizia"
A156,Silvia Avallone,Acciaio,Rizzoli 2010,"Roamnzo, adolescenza,degrado, periferie"
A145,Antonio Forcellino,Raffaello Una vita felice,Editori GLF Laterza 2006,"Saggio, biografia"
A286,Silvia Vaccari,Days in space,Vaccari 2009,Diario
A175,Giulio Cesare Giacobbe,Come smettere di farsi le seghe mentali e godersi la vita,Ponte alle grazie 2003,Satira
A140,Giulio Cesare Giacobbe,Come diventare un Buddha in cinque settimane,Ponte alle grazie 2005,Satira
A200,Oscar Wilde,Il ritratto di Dorian Gray,Universale economica Feltrinelli 2016,"Romanzo, doppio, bene-male"
A256,Luigi Pirandello,"Uno,nessuno,centomila",Universale economica Feltrinelli 2016,"Romanzo, identità, psicologia"
A160,Francesca Longo,Come ti sequestro la prof,Edizioni EL 2010,"Romanzo, scuola,amicizia"
A163,Paola Zannoner,Sopra l’acqua sotto il cielo,Mondadori 2007,Narrativa ragazzi
A169,Paul Bakolo Ngoi,Colpo di testa,Rizzoli 2010,Narrativa ragazzi
A158,John Grisham,"Theodore Boone , la ragazza scomparsa",Mondadori 2011,Giallo
A164,Antonella Ossorio Adama Zoungrana,Se entri nel cerchio sei libero,Mondadori 2010,Romanzo di formazione
A165,Maurie-Aude Murail,Cecile il futuro è per tutti,Giunti 2010,Integrazione
A167,Fernando Corbalan,"La sezione aurea, il linguaggio matematico della bellezza",RBA 2011,Saggio
A204,Massimo Gramellini Chiara Gamberale,Avrò cura di te,Longanesi 2012,Romanzo
A206,Massimo Gramellini,Fai bei sogni,Longanesi 2013,"Romanzo, dolore, giornalismo,"
A208,E.J.Michael,Regina del sole,Sonzogno 1996,Romanzo
A205,Andrea Vitali,La mamma del sole,Garzanti 2010,Romanzo
A204,Adam Blade Beast Quest,Fern oil signore del fuoco,Salani 2015,Fantasy
A213,Paolo D’agostini,"Dizionari del cinema, commedia",Electa 2009,Dizionari tematici
A211,Giacobbe Fragomeni,"All’ultimo round, la mia storia",Limina 2013,Romanzo
A210,Carlo Cassola,L’antagonista,Rizzoli 1976,Romanzo
A212,Albert Einstein,Come io vedo il mondo - la teoria della relatività tascabili,Newton 1993,Saggio
A092,Sally Gardner,Il pianeta di Standish,Feltrinelli 2013,"Romanzo fantascienza, adolescenti"
A202,PatricK Dennis,Intorno al mondo con zia Mame,Adelphi 2011,Romanzo
A207,Wilbur Smith,Monsone,Longanesi 1999,Romanzo
A236,Kiera Cass,Il Mondo di The selection,Sperling & kupfer 2015,Romanzo
A217,John Grisham,L’uomo della pioggia,Oscar Mondadori 1997,"Romanzo, assicurazioni, imbrogli"
A216,Barbara Taylor Bradford,L’amore non può attendere,Sperling & kupfer 2009,Romanzo
A215,Frances Hardinge,Volo nella notte,Fabbri editore 2006,Romanzo
A209,Ken Follett,Un luogo chiamato libertà,Mondadori 1995,Romanzo
A203,Marie Cardinal,Le parole per dirlo,Bompiani 1981,Romanzo
A290,Emanuela Nava,Sulle orme di Gandhi storia e storie di Vandana Shiva,editoriale scienza 2007,Storia vera
A291,Andrew Matthews,"L’amore , la vendetta,la magia",Einaudi 2006,Romanzo
A292,Beatrice Masini,"Signore e signorine,corale greca",Einaudi 2004,Romanzo
A293,Ermina dell’Oro,Un treno per la vita. Fuga verso la libertà,Bruno Mondadori 2003,Romanzo
A294,Luigi Flishmann,Un ragazzo ebreo nelle retrovie,Ghisetti e Corvi editore 2004,Romanzo
A295,Graziella Favaro,La zuppiera di MarzuK,Carthusia 2002,Italiano L2
A296,Carla Bisi Castellani,La casa di via Colombo .Tempo di guerra a Milano,Ibis 2005,Memoprialistica
A297,Annamaria Gangai,Emozioni,Albatros 2011,Romanzo
A298,Stefano Mencherini,Il pane loro,Manni 2001,Teatro civile
A299,-,III concorso lett.codex purpureus,sistema bibliotecario tortonese 2004,-
A300,Raffaella Gavoni Gianangelo Ranzini,Il teatro dei ragazzi,Cedam 1997,Saggio
A301,Serena Zoli,Il lavoro smobilita l’uomo,Longanesi 2008,Satira
A302,Riccardo E. Grassi,Il fruscio lieve della gioia,Infinito 2015,Romanzo
A303,Cinzia Montagna,Chi ha paura di Caterina?,Primula Editore 2016,Romanzo storico
A304,Igiaba Scego,La mia casa è dove sono,Loescher 2012,Autobiografia
A305,Ann Brashares,Quattro amiche e un paio di Jeans,Fabbri Editori 2005,"Romanzo di formazione,amicizia"
A306,Gordon Korman,Le Trentanove chiavi - La falsa nota,Piemme Junior 2008,narraiva ragazzi
A307,-,Il Quotidiano in classe,La nuova Italia 2012,Saggio
A308,-,Il Quotidiano in classe,La nuova Italia 2016,Saggio
A309,-,Indovinelli di nonna e giochi di una volta,-,-
A310,-,Modi di dire Pronti all'uso e luoghi comuni da evitare,-,-
A311,Rudyard Kipling,The Jungle books,Penguin Boooks 1994,Lingua inglese
A312,Uhlman- Malle,L'amico ritrovato- Arrivederci ragazzi,Edizioni Scolastiche Bruno Mondadori 2006,Romanzo di formazione
A313,Daniel Defoe,Robinson Crusoe,Oxford Paperbacks,Lingua inglese
A314,Lewis Carroll,Alice's adventures in Wonderland and through the looking-glass,Oxford Paperbacks,Lingua inglese
A315,Michael Ende,La storia infinita,Einaudi Scuola 1981,Fantasy
A316,Virginia Woolf,Mrs Dalloway,CIDEB 1992,Lingua inglese
A317,Henry Fielding,The History of Tom Jones a foundling,Penguin Readers 1999,Lingua inglese
A318,Alain De Botton,The consolations of philosophy,Penguin Boooks 1994,Lingua inglese
A319,Mark Twain,Le avventure di Huckleberry Finn,Lattes 2012,Avventura
A320,Sir Steve Stevenson,Agatha Mistery L'enigma del faraone,Corriere della Sera,Giallo
