n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
A069,Catherine Forde,A bomba,Sinnos,2011,8876092188,Ragazzi,FALSE
A070,Christophe Léon,Reato di fuga,Sinnos,2016,9788876093159,Ragazzi,FALSE
A071,Federico Appel,Pesi massimi,Sinnos,2014,8887676356,"Fumetti, Graphic Novel, Ragazzi",FALSE
A072,AA. VV.,Il libro dell’economia,Gribaudo,2015,9788858012642,"Saggistica, Economia",FALSE
A073,Aude de Tocqueville,Atlante delle città perdute,Bompiani,2014,8845280675,"Saggistica, Geografia",FALSE
A074,Dominique Lanni,Atlante dei paesi sognati,Bompiani,2016,9788845283123,"Saggistica, Geografia",FALSE
A075,Umberto Eco,Storia delle terre... leggendari,Bompiani,2014,8830100617,Saggistica,FALSE
A076,Matthieu Mantanus,Beethoven e la ragazza...,Mondadori,2016,9788852071973,"Ragazzi, Musica",FALSE
A077,Luigi Garlando,‘O Maè - Storia di judo e camorra,Piemme,2014,9788858513651,"Ragazzi, Attualità",FALSE
A079,Piersandro Pallavicini,La chimica della bellezza,Feltrinelli,2016,9788807032042,"Narrativa, Romanzo",FALSE
A080,Debra Ginsberg,Mio figlio Blaze,TEA,2003,8868274116,"Biografia, Memorie",FALSE
A081,Antonio Ferrara,Il ragazzo e la tempesta,Rizzoli,2014,9788817073356,Ragazzi,FALSE
A082,Giuseppe Pontiggia,Nati due volte,Mondadori,2002,9788852057663,"Narrativa, Romanzo",FALSE
A083,Giuseppe Pontiggia,Nati due volte,Mondadori,2002,9788804509530,"Narrativa, Romanzo",FALSE
A084,Fabrizio Gatti,Viki che voleva andare a scuola,Rizzoli,2010,9788817039987,"Ragazzi, Attualità",FALSE
A085,Erika Silvestri,Il commerciante di bottoni,Rizzoli,2010,9788858687444,"Ragazzi, Biografia, Memorie",FALSE
A086,Alison Leslie Gold,Mi ricordo Anna Frank,Rizzoli,2011,9788831814065,"Ragazzi, Biografia, Memorie",FALSE
A087,Paola Zannoner,Rocco + colomba,De Agostini,2011,8841867981,"Ragazzi, Romanzo Storico",FALSE
A088,Xavier Laurent Petit,Be safe,Rizzoli,2011,9788817047715,"Ragazzi, Romanzo Storico",FALSE
A089,John Grisham,La prima indagine di Theodore Boone,Mondadori,2012,8804614609,"Ragazzi, Giallo, Thriller",FALSE
A090,Stefania Bertola,Solo Flora,Feltrinelli,2016,9788858825006,Ragazzi,FALSE
A091,Antonio Ferrara,Con una rosa in mano,Feltrinelli,2016,9788858825488,"Ragazzi, Romanzo Storico",FALSE
A1624,Sally Gardner,Il pianeta di Standish,Feltrinelli,2013,9788858810323,"Ragazzi, Fantasy",FALSE
A092,Sally Gardner,Il pianeta di Standish,Feltrinelli,2013,9788858810323,"Ragazzi, Fantasy",FALSE
A093,Claudia de Lillo,"Dire, fare, baciare",Feltrinelli,2015,9788807090639,"Ragazzi, Saggistica",FALSE
A094,Boris Pasternak,Il dottor Zivago,Feltrinelli,2012,9788807947308,Romanzo Storico,FALSE
A095,Alessandro Baricco,Una certa idea di mondo,Feltrinelli,2015,9788807887307,Saggistica,FALSE
A1592,Federico Moccia,Tre metri sopra il cielo,Feltrinelli,2007,9788807819865,"Ragazzi, Narrativa",FALSE
A097,Giuseppe Tomasi di Lampedusa,Il Gattopardo,Feltrinelli,2012,8807013088,"Romanzo Storico, Classico",FALSE
A098,Sharon M. Draper,Melody,Feltrinelli,2016,9788858846728,Ragazzi,FALSE
A099,Alessandro Baricco,Novecento,Feltrinelli,2012,9788807880889,"Poesia, Teatro",FALSE
A100,Rebecca Stead,Segreti e bugie,Feltrinelli,2013,9788807910043,"Ragazzi, Giallo, Thriller",FALSE
A1000,Italo Svevo,La coscienza di Zeno,Newton Compton,-,9788854117081,"Narrativa, Classico",FALSE
A1001,Ignazio Silone,Fontamara,Mondadori,1977,9788804492505,"Romanzo Storico, Classico",FALSE
A1001-1,Ignazio Silone,Fontamara,Mondadori,1977,0719006627,"Romanzo Storico, Classico",FALSE
A1001-2,Ignazio Silone,Fontamara,Mondadori,1977,9788804001356,"Romanzo Storico, Classico",FALSE
A1002,Edgar Allan Poe,Storia di Gordon Pym,Rizzoli,-,9788817168345,"Narrativa, Avventura, Fantasy",FALSE
A1003,Ugo Foscolo,Le ultime lettere di Jacopo Ortis,L'Espresso,-,-,"Narrativa, Classico",FALSE
A1004,Emily Brontë,Cime tempestose,De Agostini,-,-,"Narrativa, Classico, Fantasy",FALSE
A1005,Giovanni Verga,Storia di una capinera,Crescere,-,9791041844128,"Narrativa, Classico",FALSE
A1006,Italo Calvino,Marcovaldo,Mondadori,-,9788835727682,"Narrativa, Ragazzi, Racconti",FALSE
A1007,Antonio Fogazzaro,Malombra,La Repubblica,-,9788858833186,"Fantasy, Gotico, Classico",FALSE
A1007-1,Antonio Fogazzaro,Malombra,La Repubblica,-,9788858833186,"Narrativa, Classici",FALSE
A1008,Luigi Capuana,Il marchese di Roccaverdina,De Agostini,-,9791041968091,"Narrativa, Classici",FALSE
A1009,Dino Buzzati,Il deserto dei Tartari,Mondadori,-,9788804492475,"Narrativa, Classici",FALSE
A101,Enrico Deaglio,La banalità del bene,Feltrinelli,2012,8807070243,"Narrativa, Romanzo Storico, Shoah narrativa",FALSE
A1010,Gabriele D'Annunzio,Motti dannunziani,Newton Compton,-,9788879835335,"Saggistica, Filosofia",FALSE
A1011,James Joyce,Gente di Dublino,Newton Compton,2010,9788858623916,"Narrativa, Racconti, Classici",FALSE
A1012,Terry Brooks,L’ultima magia,Mondadori,-,9788823529786,Fantasy,FALSE
A1013,Terry Brooks,Il ciclo di Shannara,Mondadori,-,9788804375177,Fantasy,FALSE
A1014,Terry Brooks,Il labirinto,Mondadori,-,9788833360560,Fantasy,FALSE
A1015,David Eddings,La grande dea,Sperling & Kupfer,-,8894428818,Fantasy,FALSE
A1016-a,Miguel de Cervantes,Don Chisciotte della Mancia I,De Agostini,-,9788817014632,"Narrativa, Classici",FALSE
A1016-b,Miguel de Cervantes,Don Chisciotte della Mancia II,De Agostini,-,9791041969210,"Narrativa, Classici",FALSE
A1017,Philip Pullman,La lama sottile,Salani,1997,9788862563505,Fantasy,FALSE
A1018,Philip Pullman,Il cannocchiale d’ambra,TEA,2004,8831002945,Fantasy,FALSE
A1019,Christopher Paolini,Eldest,Rizzoli,2005,9788858602690,Fantasy,FALSE
A102,Banana Yoshimoto,Kitchen,Feltrinelli,2011,880781868X,"Letteratura Giapponese, Sentimentale",FALSE
A1020,J. R. R. Tolkien,Lo Hobbit,Bompiani,2003,9788858757437,"Fantasy, Ragazzi",FALSE
A1021,Suzanne Collins,Gregor (la profezia del flagello),Mondadori,-,8804662840,"Fantasy, Ragazzi",FALSE
A1022,Arthur Conan Doyle,Uno studio in rosso,Il Sole 24 Ore,-,-,"Giallo, Thriller, Racconti",FALSE
A1023,Arthur Conan Doyle,Uno studio in rosso,Mondadori,-,9788818034042,"Giallo, Thriller, Racconti",FALSE
A1024,Howard Phillips Lovecraft,La casa stregata,Newton Compton,-,9788854117043,"Fantasy, Horror, Racconti",FALSE
A1025,Edgar Allan Poe,Racconti del mistero,Rizzoli,-,9788858675465,"Fantasy, Horror, Gotico, Racconti",FALSE
A1026,Judith Kerr,Quando Hitler rubò il coniglio rosa,Rizzoli,-,9788858624661,"Ragazzi, Romanzo Storico, Shoah narrativa",FALSE
A1027,Yann Martel,Vita di Pi,Piemme,-,886836798X,"Narrativa, Avventura",FALSE
A1027-1,Ugo Frasca,Noi Italiani,Guida,2007,9788868651350,"Saggistica, Attualità, Politica",FALSE
A1028,Isaac B. Singer,Nuove storie alla corte di mio padre,Longanesi,-,9788830408547,"Narrativa, Racconti, Romanzo Storico",FALSE
A1029,Harper Lee,Il buio oltre la siepe,Feltrinelli,-,9788807880944,"Narrativa, Classici",FALSE
A103,Valentina Camerini,Il secondo momento migliore,Feltrinelli,2014,9788858817865,"Romanzo, Sentimentale",FALSE
A1030,Paolo Giordano,La solitudine dei numeri primi,Mondadori,-,9788852014062,"Narrativa, Ragazzi, Adolescenza",FALSE
A1031,Alessandro Baricco,The game,Einaudi,-,8806235559,"Saggistica, Scienze, Attualità",FALSE
A1032,Carlos Ruiz Zafón,L’ombra del vento,Mondadori,2004,9788852098161,"Narrativa, Giallo, Thriller, Gotico",FALSE
A1033,Vanessa Diffenbaugh,Il linguaggio segreto dei fiori,Garzanti,2011,881168661X,"Romanzo, Sentimentale, Formazione",FALSE
A1034,Siobhan Vivian,La lista,Feltrinelli,-,9788807921968,"Narrativa, Ragazzi, Adolescenza",FALSE
A1035,Arthur Schopenhauer,L’arte di ottenere ragione,Adelphi,-,9788845908568,"Saggistica, Filosofia",FALSE
A1036,Carlo Rovelli,Sette brevi lezioni di Fisica,Adelphi,2014,9788845929250,"Saggistica, Scienze",FALSE
A1037,Sigmund Freud,Il sogno e la sua interpretazione,Newton Compton,2010,9788854141988,"Saggistica, Filosofia, Scienze",FALSE
A1038,Paulo Coelho,L’Alchimista,Bompiani,-,8845228673,"Narrativa, Filosofia",FALSE
A1039,Gandhi,La voce della verità,Newton Compton,-,1021378615,"Saggistica, Biografia, Testimonianze",FALSE
A104,Paul Dowswell,Auslander,Feltrinelli,2016,9781599907741,"Romanzo Storico, Ragazzi, Guerra",FALSE
A1040,Giorgio Vasari,Le vite de' più eccellenti pittori...,Newton Compton,1997,1020135344,"Saggistica, Biografia, Storia",FALSE
A1041,Franz Kafka,Tutti i racconti,Newton Compton,1993,9788879831932,"Narrativa, Racconti, Classici",FALSE
A1042,Edgar Lee Masters,Antologia di Spoon River,Newton Compton,1993,9788858827710,"Poesia, Teatro",FALSE
A1043,Edgar Lee Masters,Il nuovo Spoon River,Newton Compton,1995,8854141070,"Poesia, Teatro",FALSE
A1044,Luigi Pirandello,Sei personaggi in cerca d’autore,Crescere,-,9788898403066,"Poesia, Teatro",FALSE
A1045,Luigi Pirandello,Maschere nude (Vol. 1),Newton Compton,1993,9788879831345,"Poesia, Teatro",FALSE
A1046,Rosetta Loy,La parola ebreo,Einaudi,-,9788858417959,"Romanzo Storico, Shoah narrativa, Biografia",FALSE
A1047,Roy Lewis,Il più grande uomo scimmia del pleistocene,Adelphi,1992,9788845971709,"Umorismo, Satira, Preistorico",FALSE
A1048,Lindsey Davis,In pasto ai leoni,Marco Tropea,-,8855800574,"Giallo, Thriller, Romanzo Storico",FALSE
A1049,Ernest Hemingway,Addio alle armi,Corriere della Sera,-,9788804451051,"Romanzo Storico, Guerra, Narrativa, Classici",FALSE
A105,Stefano Benni,La compagnia dei Celestini,Feltrinelli,2006,9788807812675,"Narrativa, Ragazzi",FALSE
A1050,Valerio Massimo Manfredi,Il mio nome è Nessuno (Il giuramento),Mondadori,2012,8804725931,"Romanzo Storico, Narrativa",FALSE
A1051,Ernest Hemingway,Storie della guerra di Spagna,Mondadori,-,9788852020612,"Narrativa, Racconti, Romanzo Storico, Guerra",FALSE
A1052,Valerio Massimo Manfredi,Idi di marzo,Mondadori,2008,9788858677100,"Romanzo Storico, Narrativa",FALSE
A1053,Valerio Massimo Manfredi,L’armata perduta,Mondadori,2007,9788852010644,"Romanzo Storico, Narrativa",FALSE
A1054,Ernest Hemingway,Per chi suona la campana,Mondadori,-,9788852020490,"Romanzo Storico, Guerra, Narrativa",FALSE
A1055,E. M. Remarque,Niente di nuovo sul fronte occidentale,Rizzoli,2016,9788854522381,"Romanzo Storico, Guerra, Narrativa, Classici",FALSE
A1056,Oriana Fallaci,La rabbia e l’orgoglio,Rizzoli,-,9788858600719,"Saggistica, Attualità",FALSE
A1057,Oriana Fallaci,Quel giorno sulla luna,Rizzoli,-,9788817036897,"Saggistica, Attualità, Storia",FALSE
A1058,AA. VV.,Grande guerra un racconto in 100 immagini,Stato Maggiore Difesa,2016,9788898185252,"Saggistica, Storia, Guerra",FALSE
A1059,"Folman, Polonsky",Anne Frank - Diario (Graphic),Einaudi,2017,9788806233761,"Fumetti, Graphic Novel, Shoah narrativa",FALSE
A106,Sarah Crossan,Apple e Rain,Feltrinelli,2016,9788807910234,"Narrativa, Ragazzi, Adolescenza",FALSE
A1060,Herman Melville,Moby Dick,Mondadori,2014,9788898062676,"Fumetti, Graphic Novel, Classici",FALSE
A1061,Luigi Pirandello,"Uno, nessuno e centomila",Newton Compton,-,9788854117098,"Narrativa, Classici",FALSE
A1062,Grazia Deledda,Canne al vento,San Paolo,-,9788821553553,"Narrativa, Classici",FALSE
A1063,Stefano Benni,Achille piè veloce,Feltrinelli,-,9788807016404,"Umorismo, Grottesco",FALSE
A1064,Oscar Wilde,L’importanza di essere Franco,Rusconi,-,8878990752,"Poesia, Teatro",FALSE
A1065,Oscar Wilde,Aforismi,Barbera Editore,-,9788858861899,"Saggistica, Filosofia",FALSE
A1066,Siobhan Dowd,La bambina dimenticata dal tempo,Uovonero,-,9788896918127,"Narrativa, Ragazzi, Adolescenza",FALSE
A1067,Jane Austen,Tutti i romanzi,Newton Compton,-,1543156452,"Narrativa, Classici",FALSE
A1068,Haruki Murakami,Il mestiere dello scrittore,Einaudi,2017,9788806232153,"Saggistica, Biografia",FALSE
A1069,Giovanni Verga,Mastro Don Gesualdo,Newton Compton,-,9788854116541,"Narrativa, Classici",FALSE
A107,Daniel Pennac,Come un romanzo,Feltrinelli,2011,9788807880568,"Saggistica, Manuali",FALSE
A1070,F. Scott Fitzgerald,Il grande Gatsby,Newton Compton,-,9788811018384,"Narrativa, Classici",FALSE
A1071,Gabriele D'Annunzio,Il piacere,Newton Compton,-,9788854117036,"Narrativa, Classici",FALSE
A1072,Michail Bulgakov,Il maestro e Margherita,Newton Compton,-,9788852045981,"Narrativa, Fantasy, Classici",FALSE
A1073,Oriana Fallaci,Intervista Oriana Fallaci,Corriere della Sera,-,9788858673386,"Saggistica, Storia, Attualità",FALSE
A1074,Renata Viganò,L’Agnese va a morire,Einaudi,-,9788806222667,"Romanzo Storico, Resistenza, Narrativa",FALSE
A1075,Carlo Goldoni,La locandiera,Mondadori,-,9788804508923,"Poesia, Teatro",FALSE
A1076,Antonio Skarmeta,Il postino di Neruda,Garzanti,-,8811668301,"Narrativa, Romanzo Storico",FALSE
A1077,Annie Franҫois,La lettrice,Guanda,-,9788854198401,"Saggistica, Umorismo, Libri",FALSE
A1078,Antonio Tabucchi,Sostiene Pereira,Feltrinelli,-,9788858806227,"Romanzo Storico, Narrativa",FALSE
A1079,Charles Dickens,David Copperfield,Crescere,-,9788854140370,"Narrativa, Ragazzi, Formazione, Classici",FALSE
A108,Amos Oz,Contro il fanatismo,Feltrinelli,2015,9788858812129,"Saggistica, Filosofia, Attualità",FALSE
A1080,Helen Humphreys,Il giardino perduto,Playground,-,8857233359,"Narrativa, Romanzo Storico",FALSE
A1081,Marilynne Robinson,Lila,Einaudi,-,9788806219599,"Romanzo, Spirituale, Drammatico",FALSE
A1082,Stephen King,Danse Macabre,Frassinelli,-,9788884060945,"Saggistica, Fantasy, Horror",FALSE
A1083,Diego Ferra,NUMB Anna,Sperling & Kupfer,-,9788820097257,"Narrativa, Ragazzi, Adolescenza",FALSE
A1084,Abir Mukherjee,L'uomo di Calcutta,SEM,-,9788893901024,"Giallo, Thriller, Romanzo Storico",FALSE
A1085,Alessandro Baricco,Novecento,Feltrinelli,-,9788858845257,"Poesia, Teatro, Narrativa",FALSE
A1086,Renee Engeln,Beauty Mania,HarperCollins,2017,9788858976579,"Saggistica, Scienze, Attualità",FALSE
A1087,Laura Calosso,La stoffa delle donne,SEM,-,9788893900102,"Romanzo, Sociale, Moda",FALSE
A1088,Charles & Mary Lamb,Tales from Shakespeare,Pearson,-,9788125951483,"Ragazzi, Poesia, Teatro",FALSE
A1089,Francisco Brines,La rosa della notte,Edizioni Cadmo,-,9788879230536,"Poesia, Teatro",FALSE
A109,"More, Reed, Reed",I segreti di Amber House,Feltrinelli,2016,8807910276,"Narrativa, Fantasy, Horror, Gotico",FALSE
A1090,Lev Tolstoj,Anna Karenina,Einaudi,-,9788806219315,"Narrativa, Classici",FALSE
A1091,Annie Cohen-Solal,Americani per sempre,Johan & Levi,2012,9788858854648,"Saggistica, Storia",FALSE
A1092,Piero Bevilacqua,Il grande saccheggio,Laterza,2011,9788858104590,"Saggistica, Storia, Attualità",FALSE
A1093,J. F. Ferrándiz,La terra maledetta,Longanesi,2019,9788830452466,Romanzo Storico,FALSE
A1094,Wilbur Smith,Il settimo papiro,TEA,-,9788878183185,"Narrativa, Avventura",FALSE
A1095,Ted Chiang,Storie della tua vita,Frassinelli,-,8893420023,"Fantasy, Distopico, Racconti",FALSE
A1096,Seneca,Apokolokyntosis,Mondadori,1996,8809207106,"Narrativa, Classico, Satira",FALSE
A1097,Giovanni Boccaccio,Vita di Dante,Moretti & Vitali,2014,9788858677476,"Biografia, Memorie, Classico",FALSE
A1098,Fëdor Dostoevskij,Le notti bianche,Garzanti,-,9788811361254,"Narrativa, Racconti, Classico",FALSE
A1099,Katie Khan,Regalami una stella,Newton Compton,-,8822707702,"Narrativa, Romanzo",FALSE
A110,Rolf Lappert,Pampa Blues,Feltrinelli,2013,9788858812372,Ragazzi,FALSE
A1100,Marcel Proust,Alla ricerca del tempo perduto,Mondadori,2011,9788858610268,"Narrativa, Classico",FALSE
A1101,Collettivo Senza Slot,Vivere senza Slot,Nuova Dimensione,2013,8889100877,"Saggistica, Attualità",FALSE
A11027,Stefano Benni,Margherita Dolcevita,Feltrinelli,2010,8427321740,"Narrativa, Romanzo",FALSE
A1103,Emiliano Poddi,Tre volte invano,Instar Libri,2012,8846101669,"Narrativa, Romanzo",FALSE
A1104,Andrea Antonello,Baci a tutti,Piemme,2016,9788820092504,"Biografia, Memorie",FALSE
A1105,Daniel Pennac,Il paradiso degli orchi,Feltrinelli,1992,9788807880629,"Giallo, Thriller, Narrativa",FALSE
A1106,H. M. Enzensberger,Il mago dei numeri,Mondadori,2000,9788858430040,"Ragazzi, Saggistica",FALSE
A1107,Bebe Vio,Mi hanno regalato un sogno,Rizzoli,2017,9788817093224,"Biografia, Memorie",FALSE
A1108,Blake Nelson,Paranoid park,Rizzoli,2007,9781101077719,Ragazzi,FALSE
A1109,F. e A. Antonello,Sono graditi visi sorridenti,Feltrinelli,2013,9788807491443,"Biografia, Memorie",FALSE
A111,Daniel Pennac,Il paradiso degli orchi,Feltrinelli,2011,9788807880629,"Giallo, Thriller, Narrativa",FALSE
A1110,F. H. Burnett,Il giardino segreto,Social Libri,2017,9788851180195,"Ragazzi, Classico",FALSE
A1111,Paolo Crepet,Baciami senza rete,Mondadori,2016,9788852075568,"Saggistica, Psicologia",FALSE
A1112,Ken Follett,La caduta dei giganti,Mondadori,2011,9788852016844,Romanzo Storico,FALSE
A1113,David Lindley,La luna di Einstein,TEA,2005,8850200293,"Saggistica, Scienze",FALSE
A1114,Enzo Fileno Carabba,Fuga da Magopoli,Marcos y Marcos,2017,8871688031,"Ragazzi, Fantasy",FALSE
A1115,Enzo Fileno Carabba,Battaglia a Magopoli,Marcos y Marcos,2017,887168804X,"Ragazzi, Fantasy",FALSE
A1116,Kevin Brooks,Naked,Piemme,2011,0813523583,Ragazzi,FALSE
A1117,Erica Grazioli,Cioccolato e cannella…,Selecta,2016,9788899432096,"Biografia, Memorie",FALSE
A1118,Fulvia Degl'Innocenti,La libraia,San Paolo,2014,9788809977211,Ragazzi,FALSE
A1119,Marie-Aude Murail,https://www.google.com/search?q=Persidivista.com,Giunti,2017,9788809836365,Ragazzi,FALSE
A112,Javier Ruescas,Tutti i colori di te,Feltrinelli,2016,9788807910227,Ragazzi,FALSE
A1120,Carlo Greppi,Non restare indietro,Feltrinelli,2015,9788858841143,"Saggistica, Storia",FALSE
A1121,Alessandro Barbero,La storia (l’origine dell’umanità),Corriere della Sera,2017,-,"Saggistica, Storia",FALSE
A1122,"Salerno, Bernini",La storia di Voghera,Guardamagna,2016,8898832400,"Saggistica, Storia",FALSE
A1123,Dominique Lapierre,Più grandi dell’amore,Mondadori,1990,880433326X,"Saggistica, Attualità",FALSE
A1124,Lemony Snicket,Un infausto inizio,Salani,2017,9788862564014,"Ragazzi, Fantasy",FALSE
A1125,Italo Svevo,Senilità,Bompiani,1985,9788845212390,"Narrativa, Classico",FALSE
A1126,J. R. R. Tolkien,Lo Hobbit,Adelphi,2018,9788858757437,"Fantasy, Classico, Ragazzi",FALSE
A1128,Fëdor Dostoevskij,Il giocatore,Bompiani,1997,9788818035124,"Narrativa, Classico",FALSE
A1129,Ken Follett,I pilastri della terra,Mondadori,1990,9788852022166,Romanzo Storico,FALSE
A113,Vandana Shiva,Storia dei semi,Feltrinelli,2013,8832275732,"Saggistica, Scienze",FALSE
A1130,Jonathan Safran Foer,"Molto forte, incredibilmente vicino",Guanda,-,9788823505957,"Narrativa, Romanzo",FALSE
A1131,Carlo Cassola,Il taglio del bosco,Mondadori,-,-,"Narrativa, Racconti",FALSE
A1621,Isaac Asimov,Le grandi storie della fantascienza,Newton Compton,-,9788854122344,"Narrativa, Fantasy, Racconti",FALSE
A1132,Desy Icardi,L'annusatrice di libri,Fazi Editore,-,9788893255509,"Narrativa, Romanzo",FALSE
A1133,Desy Icardi,"Quaderno per ""L'annusatrice di libri""",Fazi Editore,-,-,"Narrativa, Romanzo",FALSE
A1134,Suzy Zail,La pianista di Auschwitz,Il Giornale,-,-,"Romanzo Storico, Ragazzi",FALSE
A1135,Michela Murgia,Accabadora,Einaudi,-,9788806197804,"Narrativa, Romanzo",FALSE
A1136,Roberto Piumini,Uomini con figure,Einaudi,1990,882860025X,"Ragazzi, Biografia, Memorie",FALSE
A1137,Tim Bruno,"NEOS, la città sospesa",Salani,-,9788862561913,"Ragazzi, Fantasy",FALSE
A1138,Barbara D'Alto,La stanza delle mele,Guida,-,9788858846636,"Narrativa, Romanzo",FALSE
A1139,Ann Brashares,La seconda estate,Rizzoli,-,9788820090968,Ragazzi,FALSE
A114,Shane Peacock,L’occhio del corvo,Feltrinelli,2015,9788807910166,"Ragazzi, Giallo, Thriller",FALSE
A1140,Richelle Mead,Midnight Jewel,LSWR,-,9788868955625,"Ragazzi, Fantasy",FALSE
A1141,Fred Uhlman,L'amico ritrovato,Feltrinelli,-,9788858847008,"Romanzo Storico, Classico",FALSE
A1142-a,"Antonielli, Chittolini",Storia della Lombardia (Vol. 1),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE
A1142-b,"Antonielli, Chittolini",Storia della Lombardia (Vol. 2),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE
A1142-c,"Antonielli, Chittolini",Storia della Lombardia (Vol. 3),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE
A1142-d,"Antonielli, Chittolini",Storia della Lombardia (Vol. 4),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE
A1142-e,"Antonielli, Chittolini",Storia della Lombardia (Vol. 5),Laterza,2001,9788842062189,"Saggistica, Storia",FALSE
A1143,Daniel Defoe,Robinson Crusoe,Garzanti,-,9788811360349,"Narrativa, Avventura, Classico",FALSE
A1144,Elena Ferrante,L’amica geniale,Edizioni e/o,2018,9788866320326,"Narrativa, Romanzo",FALSE
A1145,Michael Zadoorian,Beautiful Music,Marcos y Marcos,2018,189008333X,"Narrativa, Romanzo",FALSE
A1145-1,"Portinari, Carbone",174517 deportato: Primo Levi,La Meridiana,2019,8861536913,"Fumetti, Graphic Novel, Romanzo Storico",FALSE
A1146,"Barilli, De Carli",Il delitto Matteotti,BeccoGiallo,2018,9788858105337,"Fumetti, Graphic Novel, Storia",FALSE
A1147,Chiara Gamberale,Le luci nelle case degli altri,Mondadori,2017,9788852017223,"Narrativa, Romanzo",FALSE
A1148,Todd Strasser,L’onda,Rizzoli,2018,9788858694046,"Ragazzi, Romanzo Storico",FALSE
A1149,Giuseppe Catozzella,E tu splendi,Feltrinelli,2018,9788858831946,"Ragazzi, Narrativa",FALSE
A115,Erri De Luca,Il peso della farfalla,Feltrinelli,2016,9788858841358,"Narrativa, Racconti",FALSE
A1150,Alessandro D'Avenia,Ciò che inferno non è,Mondadori,2019,9788852057243,"Romanzo Storico, Biografia, Memorie",FALSE
A1151,Rossella Postorino,Le assaggiatrici,Feltrinelli,2018,9788807032691,Romanzo Storico,FALSE
A1152,Giorgio Scianna,Qualcosa ci inventeremo,Einaudi,2014,8806218670,"Ragazzi, Narrativa",FALSE
A1153,Giorgio Scianna,Cose più grandi di noi,Einaudi,2019,9788858430842,"Ragazzi, Narrativa",FALSE
A1154,Giorgio Scianna,La regola dei pesci,Einaudi,2017,9788806236052,"Ragazzi, Narrativa",FALSE
A1155,Paolo Giordano,La solitudine dei numeri primi,Mondadori,2018,9788852014062,"Narrativa, Romanzo",FALSE
A1156,Ryszard Kapuściński,Shah-in-shah,Feltrinelli,2017,8807817780,"Saggistica, Storia",FALSE
A1157,William Golding,Il signore delle mosche,Mondadori,2018,9782808690096,"Narrativa, Classico, Fantasy",FALSE
A1158,Matt Killeen,La bambina di Hitler,Garzanti,2019,9788811608912,"Ragazzi, Romanzo Storico",FALSE
A1159,Alessandro D'Avenia,L’arte di essere fragili,Mondadori,2019,9788852077418,"Saggistica, Letteratura",FALSE
A116,Corrado Ceschinelli,Cambiamente,Curcu & Genovese,-,9788896737521,Saggistica,FALSE
A1160,Alessandro D'Avenia,Bianca come il latte rossa come il sangue,Mondadori,2010,9788852012495,"Ragazzi, Narrativa",FALSE
A1161,Amélie Nothomb,Acido solforico,Voland,2015,8862434235,"Narrativa, Fantasy",FALSE
A1162,"Apuzzo, Carnazzi",Quattro sberle in padella,Stampa Alternativa,2012,8862222416,"Saggistica, Attualità",FALSE
A1163,Giacomo Mazzariol,Mio fratello rincorre i dinosauri,Einaudi,2016,8806239066,"Narrativa, Biografia, Memorie",FALSE
A1164,Nicola Brunialti,Il paradiso alla fine del mondo,Sperling & Kupfer,2019,9788893428231,Ragazzi,FALSE
A1165,Lia Levi,Questa sera è già domani,Edizioni e/o,2018,9788866329350,Romanzo Storico,FALSE
A1166,Niccolò Ammaniti,Io non ho paura,Einaudi,2011,9788806207694,"Narrativa, Romanzo",FALSE
A1167,Greta Thunberg,La nostra casa è in fiamme,Mondadori,2019,9788852094033,"Saggistica, Attualità",FALSE
A1168,Fond. F. De André,Anche le parole sono nomadi,Chiarelettere,2018,9788832961508,"Poesia, Teatro",FALSE
A1169,Zygmunt Bauman,Modernità liquida,Laterza,2019,9788858107287,"Saggistica, Sociologia",FALSE
A117,Arthur Conan Doyle,Sherlock Holmes - Tutti i racconti,Einaudi,2015,8806227688,"Giallo, Thriller, Classico",FALSE
A1170,"Mentana, Segre",La memoria rende liberi,Rizzoli,2018,9788858676554,"Biografia, Memorie, Storia",FALSE
A1171,Luigi Garlando,Per questo mi chiamo Giovanni,Rizzoli,2018,9788817026147,"Ragazzi, Attualità",FALSE
A1625,Fabio Geda,Nel mare ci sono i coccodrilli,Baldini+Castoldi,2017,9791254942475,"Narrativa, Biografia, Memorie",FALSE
A1173,Anthony De Mello,Messaggio di un’aquila...,Piemme,2015,9788858522226,"Saggistica, Spiritualità",FALSE
A1174,Michele Serra,Gli sdraiati,Feltrinelli,2016,9788858859094,"Narrativa, Romanzo",FALSE
A1175,Michele Serra,Il nuovo che avanza,Feltrinelli,2013,9788807811739,"Saggistica, Attualità",FALSE
A1176,Mates,Veri amici,Mondadori,2016,9788891809384,"Ragazzi, Biografia, Memorie",FALSE
A1177,Luigi Pirandello,Sei personaggi in cerca d'autore,Rusconi,-,9788898403066,"Poesia, Teatro",FALSE
A1178,K. Kressmann Taylor,Destinatario sconosciuto,Rizzoli,-,9788858654361,Romanzo Storico,FALSE
A1179,Robert Louis Stevenson,Lo strano caso del Dr. Jekyll...,Epoca,-,9788830530720,"Fantasy, Gotico, Classico",FALSE
