n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
304,Franz Kafka,Il castello,Mondadori,1977,9788804135506,"Narrativa, Classico",FALSE
306,Franz Kafka,Il processo,Mondadori,1975,9798676926243,"Narrativa, Classico",FALSE
309,Jaroslav Hasek,Il buon soldato sc’veik,Feltrinelli,1966,8807810484,"Romanzo Storico, Satira",FALSE
316,James Joyce,Ulisse,Mondadori,1973,9788804000392,"Narrativa, Classico",FALSE
326,Gian Luigi Rondi,7 domande a 49 registi,SEI,1975,9788805055372,Saggistica,FALSE
328,Luigi Pirandello,I vecchi e i giovani,Mondadori,1967,8817050741,Romanzo Storico,FALSE
346,Beppe Fenoglio,La malora,Einaudi,1968,8897967221,"Narrativa, Romanzo",FALSE
349,Raffaello Brignetti,Il gabbiano azzurro,Mondadori,1973,880632201X,"Narrativa, Romanzo",FALSE
351,Cesare Pavese,Feria d’agosto,Mondadori,1971,9788828102878,"Narrativa, Saggistica, Racconti",FALSE
252,AA. VV.,Diario del Che in Bolivia,Feltrinelli,1968,8807830019,"Biografia, Memorie",FALSE
352,Antonio Fogazzaro,Piccolo mondo antico,Mondadori,1970,9791041961122,Romanzo Storico,FALSE
354,Emilio Lussu,Un anno sull’altipiano,Einaudi,1960,8876910883,"Romanzo Storico, Biografia, Memorie",FALSE
361,Giorgio Bassani,Il giardino dei Finzi-Contini,Einaudi,1962,9788858806326,Romanzo Storico,FALSE
362,Apollonio,L’uomo nel 2000,Rizzoli,1968,8809206452,Saggistica,FALSE
369,Leonardo Sciascia,La scomparsa di Majorana,Einaudi,1975,9788845972386,"Saggistica, Biografia, Memorie",FALSE
373,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788858656785,"Narrativa, Racconti",FALSE
374,Giovanni Verga,Tutte le novelle (due volumi),Mondadori,1970,9788804000373,"Narrativa, Racconti",FALSE
375,Cesare Pavese,La casa in collina,Einaudi,1967,9788822753366,Romanzo Storico,FALSE
378,Giovanni Verga,Mastro-Don Gesualdo,Mondadori,1966,9791041965632,"Narrativa, Classico",FALSE
379,Joseph Conrad,Racconti di mare e di costa,Mondadori,1971,9788858733356,"Narrativa, Racconti, Avventura",FALSE
382,Giuseppe Tomasi di Lampedusa,Opere,Feltrinelli,1974,9788807804476,"Narrativa, Racconti",FALSE
386,Luigi Pirandello,Il fu Mattia Pascal,Mondadori,2000,9788804492581,"Narrativa, Classico",FALSE
390,Emilio Lussu,Marcia su Roma e dintorni,Einaudi,1974,9788858413302,"Saggistica, Storia",FALSE
397,Franz Kafka,La metamorfosi,Garzanti,1976,9788862774468,"Narrativa, Racconti",FALSE
